id,en,fr
\\\\\GENERAL\\\\\,,
APP_NAME,Planner,Planner
\\\\\STARTUP\\\\\,\\\\\\,\\\\\\
\\\Main,\\\,\\\
NEW_FILE,New,Nouveau
LOAD_FILE,Load,Charger
RECENT_FILES,Recent,Récent
PREFS,Preferences,Préférences
ABOUT,About,À Propos
QUIT,Quit,Quitter
\\\\\LOADING\\\\\,\\\\\\,\\\\\\
PLAN_LOADING,Loading your Plan,Chargement de votre Plan
,,
\\\\\PLAN\\\\\,\\\\\\,\\\\\\
PLAN_NAME,Name,Nom
PLAN_DESC,Description,Description
PLAN_NOTES,Notes,Notes
PLAN_OPTIONS,Options,Options
SAVE,Save,Enregistrer
SAVE_AS,Save As,Enregistrer sous
COULDNT_OPEN,A problem occurred when loading the file.,Un problème est survenu lors du chargement du fichier.
ERROR_CODE,Error code :,Code d’erreur :
